target,horizon,iter,mean_test_mae,std_test_mae,mean_train_mae,gen_gap,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,max_samples,is_best,params
TOF_Alt,1,3,0.5974654255319196,0.20437897634615954,0.26010064838680214,0.3373647771451175,160,,6,4,0.55,0.75,False,"{""n_estimators"": 160, ""min_samples_split"": 4, ""min_samples_leaf"": 6, ""max_samples"": 0.75, ""max_features"": 0.55, ""max_depth"": null, ""bootstrap"": true}"
TOF_Alt,1,4,0.6233584288052356,0.2442214378290441,0.35665704619291244,0.2667013826123232,250,18.0,15,32,0.4,0.75,False,"{""n_estimators"": 250, ""min_samples_split"": 32, ""min_samples_leaf"": 15, ""max_samples"": 0.75, ""max_features"": 0.4, ""max_depth"": 18, ""bootstrap"": true}"
TOF_Alt,1,5,0.6012999181669365,0.21219888897285466,0.34787259040596336,0.25342732776097315,120,6.0,6,8,0.7,0.75,False,"{""n_estimators"": 120, ""min_samples_split"": 8, ""min_samples_leaf"": 6, ""max_samples"": 0.75, ""max_features"": 0.7, ""max_depth"": 6, ""bootstrap"": true}"
TOF_Alt,1,6,0.606195581014735,0.21791299909423859,0.32843258797609554,0.2777629930386395,80,12.0,10,24,0.7,0.75,False,"{""n_estimators"": 80, ""min_samples_split"": 24, ""min_samples_leaf"": 10, ""max_samples"": 0.75, ""max_features"": 0.7, ""max_depth"": 12, ""bootstrap"": true}"
TOF_Alt,1,7,0.5842815057283102,0.18805527583032974,0.33624594092582266,0.2480355648024875,120,14.0,2,32,0.4,0.6,False,"{""n_estimators"": 120, ""min_samples_split"": 32, ""min_samples_leaf"": 2, ""max_samples"": 0.6, ""max_features"": 0.4, ""max_depth"": 14, ""bootstrap"": true}"
TOF_Alt,1,8,0.5961454582651518,0.2193082729914192,0.38831428918785094,0.20783116907730081,300,18.0,30,32,0.85,,False,"{""n_estimators"": 300, ""min_samples_split"": 32, ""min_samples_leaf"": 30, ""max_samples"": null, ""max_features"": 0.85, ""max_depth"": 18, ""bootstrap"": true}"
TOF_Alt,1,9,0.5909187806873939,0.19364925467959088,0.318038313554461,0.2728804671329329,200,8.0,10,16,0.55,,False,"{""n_estimators"": 200, ""min_samples_split"": 16, ""min_samples_leaf"": 10, ""max_samples"": null, ""max_features"": 0.55, ""max_depth"": 8, ""bootstrap"": true}"
TOF_Alt,1,10,0.6015175941080216,0.22076508407131212,0.36264179801650337,0.23887579609151827,160,12.0,20,12,1.0,,False,"{""n_estimators"": 160, ""min_samples_split"": 12, ""min_samples_leaf"": 20, ""max_samples"": null, ""max_features"": 1.0, ""max_depth"": 12, ""bootstrap"": true}"
TOF_Alt,1,11,0.6109723813420608,0.2217229688437099,0.34018275108105445,0.27078963026100633,200,22.0,15,16,0.55,0.95,False,"{""n_estimators"": 200, ""min_samples_split"": 16, ""min_samples_leaf"": 15, ""max_samples"": 0.95, ""max_features"": 0.55, ""max_depth"": 22, ""bootstrap"": true}"
TOF_Alt,1,12,0.6080220949263484,0.22363944485233386,0.3364075613983834,0.271614533527965,160,22.0,10,12,0.4,0.6,False,"{""n_estimators"": 160, ""min_samples_split"": 12, ""min_samples_leaf"": 10, ""max_samples"": 0.6, ""max_features"": 0.4, ""max_depth"": 22, ""bootstrap"": true}"
TOF_Alt,1,13,0.5987471358428811,0.15647987683437592,0.39755278040637143,0.20119435543650965,120,6.0,15,12,sqrt,0.85,False,"{""n_estimators"": 120, ""min_samples_split"": 12, ""min_samples_leaf"": 15, ""max_samples"": 0.85, ""max_features"": ""sqrt"", ""max_depth"": 6, ""bootstrap"": true}"
TOF_Alt,1,14,0.5842256546644827,0.18241825071389192,0.1634736371982474,0.42075201746623536,300,18.0,4,8,0.85,0.95,False,"{""n_estimators"": 300, ""min_samples_split"": 8, ""min_samples_leaf"": 4, ""max_samples"": 0.95, ""max_features"": 0.85, ""max_depth"": 18, ""bootstrap"": true}"
TOF_Alt,1,15,0.5661822831424003,0.11662960814321242,0.34407047789730405,0.22211180524509622,200,22.0,2,48,sqrt,,False,"{""n_estimators"": 200, ""min_samples_split"": 48, ""min_samples_leaf"": 2, ""max_samples"": null, ""max_features"": ""sqrt"", ""max_depth"": 22, ""bootstrap"": true}"
TOF_Alt,1,16,0.611192512274958,0.22281967585796514,0.3842987818283852,0.22689373044657274,300,22.0,20,32,0.4,0.6,False,"{""n_estimators"": 300, ""min_samples_split"": 32, ""min_samples_leaf"": 20, ""max_samples"": 0.6, ""max_features"": 0.4, ""max_depth"": 22, ""bootstrap"": true}"
TOF_Alt,3,1,1.0765748772504138,0.5351089076536207,0.5932401103843015,0.4833347668661123,200,8.0,20,4,0.55,0.95,False,"{""n_estimators"": 200, ""min_samples_split"": 4, ""min_samples_leaf"": 20, ""max_samples"": 0.95, ""max_features"": 0.55, ""max_depth"": 8, ""bootstrap"": true}"
TOF_Alt,3,2,1.1358676350245511,0.3474402559863596,0.736658178350736,0.39920945667381513,160,6.0,30,16,sqrt,0.85,False,"{""n_estimators"": 160, ""min_samples_split"": 16, ""min_samples_leaf"": 30, ""max_samples"": 0.85, ""max_features"": ""sqrt"", ""max_depth"": 6, ""bootstrap"": true}"
TOF_Alt,3,3,1.0719335106382997,0.5448853021599446,0.40770915916348094,0.6642243514748187,160,,6,4,0.55,0.75,False,"{""n_estimators"": 160, ""min_samples_split"": 4, ""min_samples_leaf"": 6, ""max_samples"": 0.75, ""max_features"": 0.55, ""max_depth"": null, ""bootstrap"": true}"
TOF_Alt,3,4,1.116850859247143,0.5782310306639241,0.5710150707366728,0.5458357885104701,250,18.0,15,32,0.4,0.75,False,"{""n_estimators"": 250, ""min_samples_split"": 32, ""min_samples_leaf"": 15, ""max_samples"": 0.75, ""max_features"": 0.4, ""max_depth"": 18, ""bootstrap"": true}"
TOF_Alt,3,5,1.0849523322422383,0.5648532544399034,0.5485428563065516,0.5364094759356867,120,6.0,6,8,0.7,0.75,False,"{""n_estimators"": 120, ""min_samples_split"": 8, ""min_samples_leaf"": 6, ""max_samples"": 0.75, ""max_features"": 0.7, ""max_depth"": 6, ""bootstrap"": true}"
TOF_Alt,3,6,1.0569300327332327,0.5460429708704444,0.529241527825606,0.5276885049076268,80,12.0,10,24,0.7,0.75,False,"{""n_estimators"": 80, ""min_samples_split"": 24, ""min_samples_leaf"": 10, ""max_samples"": 0.75, ""max_features"": 0.7, ""max_depth"": 12, ""bootstrap"": true}"
TOF_Alt,3,7,1.0378430851063785,0.42468500373641815,0.5396231092543885,0.49821997585198996,120,14.0,2,32,0.4,0.6,False,"{""n_estimators"": 120, ""min_samples_split"": 32, ""min_samples_leaf"": 2, ""max_samples"": 0.6, ""max_features"": 0.4, ""max_depth"": 14, ""bootstrap"": true}"
TOF_Alt,3,8,1.075953559738129,0.5574851140960176,0.6351511288367373,0.4408024309013916,300,18.0,30,32,0.85,,False,"{""n_estimators"": 300, ""min_samples_split"": 32, ""min_samples_leaf"": 30, ""max_samples"": null, ""max_features"": 0.85, ""max_depth"": 18, ""bootstrap"": true}"
